sensor,pixel_fill_proxy,signal_retention,absolute_signal_error_K,valid
MODIS,0.20475,3.425949457135561,0.2387677431106568,True
MODIS,0.0207,0.3369617911854722,0.6183773279190063,True
MODIS,0.0873,0.2228103893478259,1.405358612537384,True
MODIS,0.083925,0.875202075988374,0.05024802684783941,True
MODIS,0.07065,0.4370391810321122,0.056242406368255594,True
MODIS,0.1331999999999999,0.4067389048750692,0.4781554490327834,True
MODIS,0.25695,0.1096155744009836,0.2229642271995544,True
MODIS,0.25515,0.2501602268148279,1.0459486842155457,True
MODIS,0.0135,0.0286081421876228,0.3077810108661651,True
MODIS,0.5649882352941176,0.0134834923201017,0.668725997209549,True
MODIS,0.5679642857142857,0.51272479148715,0.5728430449962615,True
MODIS,0.056475,0.8046272531627319,0.3437991142272949,True
MODIS,0.32295,0.7719624595837692,0.08839897066354752,True
MODIS,0.17759999999999998,0.8151092740980261,0.022949829697608906,True
MODIS,0.44256,0.0250398886600821,1.0162851214408875,True
MODIS,0.0207,3.883978053350872,0.4051609560847282,True
MODIS,0.2124,0.2241324156199975,0.0824518948793411,True
MODIS,0.2808,0.146317100832732,0.644643247127533,True
MODIS,0.0234,0.2034348023365494,0.2705334424972534,True
MODIS,0.4453,0.1290354222766795,0.40126782655715937,True
MODIS,0.0513,0.6253441698724123,0.4460484385490417,True
MODIS,0.264375,0.2077420325747219,0.2844901978969574,True
MODIS,0.31932,0.4426403743745993,0.28647100925445557,True
MODIS,0.5348739130434782,0.1083804794666645,0.1171909570693969,True
MODIS,0.2883857142857143,0.1234755658944023,0.15320473164319978,True
MODIS,0.11399999999999998,0.2656339538161581,0.2250302284955979,True
MODIS,0.459,0.2183952165365327,0.6126572755165398,True
MODIS,0.036,0.5694413112850853,0.07326073199510569,True
MODIS,0.01755,0.614740337048387,0.1321033351123333,True
MODIS,0.48733548387096776,0.2264230206739584,0.2553146705031395,True
MODIS,0.2502,2.7098534353366657,1.1327468156814575,True
MODIS,0.18552857142857143,0.1230639759051608,1.3499057292938232,True
MODIS,0.0098999999999999,0.0895607427042366,0.1332830786705017,True
MODIS,0.0117,1.1927500838162317,0.018844962120056194,True
MODIS,0.2691,0.2272446419237659,0.12276643514633179,True
MODIS,0.19455,0.6683255592730049,0.8502475619316101,True
MODIS,0.0315,0.2711496258971825,0.3464990854263305,True
MODIS,0.04274999999999995,0.2827871434765242,0.3269347250461578,True
MODIS,0.35082,1.487508808846463,0.06216144561767581,True
MODIS,0.17406,0.9175775925827911,1.1301173567771912,True
MODIS,0.405,0.3606189844933681,0.4925708770751953,True
MODIS,0.4720695652173913,0.0246959593414216,0.2452600598335266,True
MODIS,0.0297,1.8221282542418875,0.0865408182144165,True
MODIS,0.0225,0.0050954381773067,1.4868682622909546,True
MODIS,0.0980999999999999,0.1954139348082373,0.7699902653694152,True
MODIS,0.009,0.0198611842129528,1.308735728263855,True
MODIS,0.0189,0.1198375819540784,1.3331851959228516,True
MODIS,0.37979999999999997,0.1338201541450742,0.6917943954467773,True
MODIS,0.108225,0.7124763026736494,0.06916612386703491,True
MODIS,0.05969999999999997,0.278426948062678,0.38330650329589844,True
MODIS,0.2096357142857143,0.2255897130807105,0.6074366569519042,True
MODIS,0.2709,0.0787037873423196,0.3462487980723381,True
MODIS,0.0072,0.17411599089451,0.3698091879487038,True
MODIS,0.0351,2.4610271876564025,0.2143096327781677,True
MODIS,0.0153,0.4793772043150131,0.3927938342094421,True
MODIS,0.0351,0.6886864616577669,0.023474901914596592,True
MODIS,0.0584999999999999,0.3165084971214049,0.3080751895904541,True
MODIS,0.0456,0.3139456974765273,0.3099854588508606,True
MODIS,0.26699999999999996,0.4193221742092849,0.192370057106018,True
MODIS,0.33165,0.2176692637776006,0.2489268779754638,True
MODIS,0.38275714285714285,1.3786348791877847,0.060574054718017606,True
MODIS,0.2628,0.3126729732119778,0.46264827251434326,True
MODIS,0.2994,0.5169836014729043,0.1587565541267395,True
MODIS,0.0216,1.115406860134382,0.30683720111846924,True
MODIS,0.21689999999999998,0.0121170964866198,0.8372237086296082,True
MODIS,0.06795,0.0769311853989474,0.3033701181411743,True
MODIS,0.208125,0.4448896288204093,0.0530229806900024,True
